name,trial,deck,reward,penalty,gain,total,response_time,touch_speed,hh_mm_ss,YYYY_MM_DD
pp,1,A,100,-0,100,2100,3023,87,13_39_6,2019_11_26
pp,2,B,100,-0,100,2200,365,62,13_39_6,2019_11_26
pp,3,C,50,-0,50,2250,368,74,13_39_6,2019_11_26
pp,4,D,50,-0,50,2300,300,41,13_39_7,2019_11_26
pp,5,A,100,-0,100,2400,317,59,13_39_7,2019_11_26
pp,6,B,100,-0,100,2500,300,61,13_39_7,2019_11_26
pp,7,C,50,-0,50,2550,317,60,13_39_8,2019_11_26
pp,8,D,50,-0,50,2600,264,43,13_39_8,2019_11_26
pp,9,A,100,-150,-50,2550,299,39,13_39_8,2019_11_26
pp,10,B,100,-0,100,2650,301,40,13_39_9,2019_11_26
pp,11,C,50,-50,0,2650,350,58,13_39_9,2019_11_26
pp,12,D,50,-0,50,2700,266,43,13_39_9,2019_11_26
pp,13,A,100,-0,100,2800,317,75,13_39_9,2019_11_26
pp,14,B,100,-0,100,2900,266,61,13_39_10,2019_11_26
pp,15,C,50,-0,50,2950,316,71,13_39_10,2019_11_26
pp,16,D,50,-0,50,3000,300,60,13_39_10,2019_11_26
pp,17,D,50,-0,50,3050,217,45,13_39_11,2019_11_26
pp,18,C,50,-50,0,3050,302,62,13_39_11,2019_11_26
pp,19,B,100,-0,100,3150,332,94,13_39_11,2019_11_26
pp,20,A,100,-300,-200,2950,536,127,13_39_12,2019_11_26
pp,21,B,100,-0,100,3050,297,75,13_39_12,2019_11_26
pp,22,C,50,-0,50,3100,332,74,13_39_12,2019_11_26
pp,23,D,50,-0,50,3150,301,43,13_39_13,2019_11_26
pp,24,D,50,-0,50,3200,366,42,13_39_13,2019_11_26
pp,25,C,50,-50,0,3200,367,59,13_39_13,2019_11_26
pp,26,C,50,-0,50,3250,550,75,13_39_14,2019_11_26
pp,27,B,100,-0,100,3350,432,95,13_39_14,2019_11_26
pp,28,A,100,-0,100,3450,368,128,13_39_15,2019_11_26
pp,29,B,100,-0,100,3550,332,93,13_39_15,2019_11_26
pp,30,C,50,-50,0,3550,351,77,13_39_15,2019_11_26
pp,31,D,50,-0,50,3600,417,89,13_39_16,2019_11_26
pp,32,C,50,-50,0,3600,349,91,13_39_16,2019_11_26
pp,33,B,100,-1250,-1150,2450,451,108,13_39_17,2019_11_26
pp,34,A,100,-200,-100,2350,382,107,13_39_17,2019_11_26
pp,35,D,50,-0,50,2400,282,62,13_39_17,2019_11_26
pp,36,C,50,-0,50,2450,366,58,13_39_18,2019_11_26
pp,37,B,100,-0,100,2550,435,122,13_39_18,2019_11_26
pp,38,A,100,-0,100,2650,349,112,13_39_18,2019_11_26
pp,39,C,50,-25,25,2675,314,77,13_39_19,2019_11_26
pp,40,D,50,-250,-200,2475,301,59,13_39_19,2019_11_26
pp,41,B,100,-0,100,2575,417,126,13_39_20,2019_11_26
pp,42,A,100,-250,-150,2425,332,91,13_39_20,2019_11_26
pp,43,C,50,-75,-25,2400,318,59,13_39_20,2019_11_26
pp,44,D,50,-0,50,2450,317,77,13_39_20,2019_11_26
pp,45,B,100,-0,100,2550,365,74,13_39_21,2019_11_26
pp,46,C,50,-0,50,2600,349,74,13_39_21,2019_11_26
pp,47,A,100,-350,-250,2350,367,88,13_39_22,2019_11_26
pp,48,D,50,-0,50,2400,318,60,13_39_22,2019_11_26
pp,49,B,100,-0,100,2500,299,41,13_39_22,2019_11_26
pp,50,C,50,-0,50,2550,350,76,13_39_23,2019_11_26
