name,trial,deck,reward,penalty,gain,total,response_time,touch_speed,hh_mm_ss,YYYY_MM_DD
neko,1,B,100,-0,100,2100,4868,28,11_23_30,2019_11_23
neko,2,B,100,-0,100,2200,8151,15,11_23_38,2019_11_23
neko,3,B,100,-0,100,2300,3579,67,11_23_41,2019_11_23
neko,4,D,50,-0,50,2350,2274,29,11_23_44,2019_11_23
neko,5,C,50,-0,50,2400,3146,40,11_23_47,2019_11_23
neko,6,A,100,-0,100,2500,1482,45,11_23_48,2019_11_23
neko,7,B,100,-0,100,2600,2816,46,11_23_51,2019_11_23
neko,8,A,100,-0,100,2700,853,27,11_23_52,2019_11_23
neko,9,B,100,-0,100,2800,666,41,11_23_53,2019_11_23
neko,10,A,100,-150,-50,2750,623,30,11_23_53,2019_11_23
neko,11,B,100,-0,100,2850,1826,44,11_23_55,2019_11_23
neko,12,A,100,-0,100,2950,1937,25,11_23_57,2019_11_23
neko,13,B,100,-0,100,3050,1450,16,11_23_59,2019_11_23
neko,14,C,50,-0,50,3100,1283,47,11_24_0,2019_11_23
neko,15,B,100,-0,100,3200,1480,27,11_24_1,2019_11_23
neko,16,A,100,-300,-200,3000,723,27,11_24_2,2019_11_23
neko,17,B,100,-1250,-1150,1850,1391,28,11_24_3,2019_11_23
neko,18,D,50,-0,50,1900,5049,43,11_24_8,2019_11_23
neko,19,C,50,-50,0,1900,1094,32,11_24_10,2019_11_23
neko,20,D,50,-0,50,1950,1310,12,11_24_11,2019_11_23
neko,21,C,50,-0,50,2000,1625,38,11_24_13,2019_11_23
neko,22,D,50,-0,50,2050,759,46,11_24_13,2019_11_23
neko,23,C,50,-50,0,2050,840,29,11_24_14,2019_11_23
neko,24,D,50,-0,50,2100,1149,15,11_24_15,2019_11_23
neko,25,D,50,-0,50,2150,1017,28,11_24_16,2019_11_23
neko,26,B,100,-0,100,2250,682,41,11_24_17,2019_11_23
neko,27,D,50,-0,50,2300,917,41,11_24_18,2019_11_23
neko,28,B,100,-0,100,2400,1058,28,11_24_19,2019_11_23
neko,29,B,100,-0,100,2500,965,28,11_24_20,2019_11_23
neko,30,B,100,-0,100,2600,1694,29,11_24_22,2019_11_23
neko,31,B,100,-1250,-1150,1450,1850,29,11_24_23,2019_11_23
neko,32,A,100,-0,100,1550,2206,25,11_24_26,2019_11_23
neko,33,A,100,-200,-100,1450,798,28,11_24_26,2019_11_23
neko,34,C,50,-0,50,1500,1057,31,11_24_28,2019_11_23
neko,35,D,50,-0,50,1550,516,57,11_24_28,2019_11_23
neko,36,C,50,-50,0,1550,317,40,11_24_28,2019_11_23
neko,37,D,50,-0,50,1600,267,43,11_24_29,2019_11_23
neko,38,C,50,-0,50,1650,350,48,11_24_29,2019_11_23
neko,39,D,50,-250,-200,1450,266,44,11_24_29,2019_11_23
neko,40,B,100,-0,100,1550,1110,30,11_24_30,2019_11_23
neko,41,C,50,-50,0,1550,584,58,11_24_31,2019_11_23
neko,42,B,100,-0,100,1650,599,26,11_24_32,2019_11_23
neko,43,B,100,-0,100,1750,1018,29,11_24_33,2019_11_23
neko,44,B,100,-0,100,1850,814,28,11_24_33,2019_11_23
neko,45,B,100,-0,100,1950,985,28,11_24_34,2019_11_23
neko,46,D,50,-0,50,2000,583,28,11_24_35,2019_11_23
neko,47,B,100,-0,100,2100,818,30,11_24_36,2019_11_23
neko,48,B,100,-1250,-1150,950,1279,30,11_24_37,2019_11_23
neko,49,D,50,-0,50,1000,1001,28,11_24_38,2019_11_23
neko,50,D,50,-0,50,1050,1711,15,11_24_40,2019_11_23
neko,51,D,50,-0,50,1100,346,42,11_24_40,2019_11_23
neko,52,D,50,-0,50,1150,200,44,11_24_40,2019_11_23
neko,53,D,50,-0,50,1200,184,44,11_24_40,2019_11_23
neko,54,D,50,-0,50,1250,171,12,11_24_41,2019_11_23
neko,55,D,50,-0,50,1300,180,44,11_24_41,2019_11_23
neko,56,D,50,-0,50,1350,199,77,11_24_41,2019_11_23
neko,57,D,50,-250,-200,1150,149,48,11_24_41,2019_11_23
neko,58,D,50,-0,50,1200,183,60,11_24_41,2019_11_23
neko,59,D,50,-0,50,1250,667,25,11_24_42,2019_11_23
neko,60,D,50,-0,50,1300,183,27,11_24_42,2019_11_23
neko,61,D,50,-0,50,1350,184,63,11_24_42,2019_11_23
neko,62,D,50,-0,50,1400,150,65,11_24_43,2019_11_23
neko,63,D,50,-0,50,1450,166,98,11_24_43,2019_11_23
neko,64,D,50,-0,50,1500,166,63,11_24_43,2019_11_23
neko,65,D,50,-0,50,1550,168,66,11_24_43,2019_11_23
neko,66,D,50,-250,-200,1350,149,65,11_24_43,2019_11_23
neko,67,D,50,-0,50,1400,150,65,11_24_43,2019_11_23
neko,68,D,50,-0,50,1450,116,47,11_24_43,2019_11_23
neko,69,D,50,-0,50,1500,484,41,11_24_44,2019_11_23
neko,70,D,50,-0,50,1550,166,47,11_24_44,2019_11_23
neko,71,C,50,-50,0,1550,416,41,11_24_45,2019_11_23
neko,72,C,50,-0,50,1600,521,29,11_24_45,2019_11_23
neko,73,C,50,-25,25,1625,362,43,11_24_45,2019_11_23
neko,74,C,50,-75,-25,1600,199,47,11_24_46,2019_11_23
neko,75,C,50,-0,50,1650,217,25,11_24_46,2019_11_23
neko,76,D,50,-0,50,1700,703,46,11_24_47,2019_11_23
neko,77,C,50,-0,50,1750,366,58,11_24_47,2019_11_23
neko,78,D,50,-250,-200,1550,233,43,11_24_47,2019_11_23
neko,79,C,50,-0,50,1600,201,45,11_24_47,2019_11_23
neko,80,D,50,-0,50,1650,777,47,11_24_48,2019_11_23
neko,81,C,50,-25,25,1675,300,42,11_24_48,2019_11_23
neko,82,C,50,-75,-25,1650,533,58,11_24_49,2019_11_23
neko,83,C,50,-0,50,1700,166,46,11_24_49,2019_11_23
neko,84,D,50,-0,50,1750,534,77,11_24_50,2019_11_23
neko,85,D,50,-0,50,1800,384,60,11_24_50,2019_11_23
neko,86,B,100,-0,100,1900,741,28,11_24_51,2019_11_23
