name,trial,deck,reward,penalty,gain,total,response_time,touch_speed,hh_mm_ss,YYYY_MM_DD
도은영,1,C,50,-0,50,2050,2323,26,20_15_41,2019_10_29
도은영,2,B,100,-0,100,2150,5748,44,20_15_46,2019_10_29
도은영,3,A,100,-0,100,2250,3213,29,20_15_50,2019_10_29
도은영,4,D,50,-0,50,2300,1665,28,20_15_51,2019_10_29
도은영,5,D,50,-0,50,2350,1347,28,20_15_53,2019_10_29
도은영,6,C,50,-0,50,2400,1916,60,20_15_55,2019_10_29
도은영,7,B,100,-0,100,2500,1633,62,20_15_56,2019_10_29
도은영,8,A,100,-0,100,2600,2083,44,20_15_58,2019_10_29
도은영,9,A,100,-150,-50,2550,569,45,20_15_59,2019_10_29
도은영,10,B,100,-0,100,2650,3023,29,20_20_4,2019_10_29
도은영,11,D,50,-0,50,2700,1345,39,20_20_5,2019_10_29
도은영,12,C,50,-50,0,2700,1680,46,20_20_7,2019_10_29
도은영,13,A,100,-0,100,2800,1857,46,20_20_9,2019_10_29
도은영,14,A,100,-300,-200,2600,1705,45,20_20_11,2019_10_29
도은영,15,B,100,-0,100,2700,1874,37,20_20_12,2019_10_29
도은영,16,B,100,-0,100,2800,929,46,20_20_13,2019_10_29
도은영,17,B,100,-0,100,2900,524,33,20_20_14,2019_10_29
도은영,18,B,100,-0,100,3000,444,41,20_20_14,2019_10_29
도은영,19,B,100,-0,100,3100,343,41,20_20_15,2019_10_29
도은영,20,B,100,-1250,-1150,1950,193,57,20_20_15,2019_10_29
도은영,21,B,100,-0,100,2050,168,51,20_20_15,2019_10_29
도은영,22,D,50,-0,50,2100,3013,47,20_20_18,2019_10_29
도은영,23,C,50,-0,50,2150,617,36,20_20_19,2019_10_29
도은영,24,C,50,-50,0,2150,712,45,20_20_19,2019_10_29
도은영,25,A,100,-0,100,2250,1095,28,20_20_20,2019_10_29
도은영,26,D,50,-0,50,2300,778,44,20_20_21,2019_10_29
도은영,27,D,50,-0,50,2350,377,33,20_20_22,2019_10_29
