name,trial,deck,reward,penalty,gain,total,response_time,touch_speed,hh_mm_ss,YYYY_MM_DD
lee,1,B,100,-0,100,2100,11151,67,20_16_14,2019_10_29
lee,2,C,50,-0,50,2150,7347,80,20_16_22,2019_10_29
lee,3,D,50,-0,50,2200,1784,128,20_16_23,2019_10_29
lee,4,D,50,-0,50,2250,1595,94,20_16_25,2019_10_29
lee,5,B,100,-0,100,2350,884,88,20_16_26,2019_10_29
lee,6,B,100,-0,100,2450,768,107,20_16_27,2019_10_29
lee,7,A,100,-0,100,2550,1118,71,20_16_28,2019_10_29
lee,8,B,100,-0,100,2650,1226,88,20_16_29,2019_10_29
lee,9,B,100,-0,100,2750,1334,67,20_16_30,2019_10_29
lee,10,C,50,-0,50,2800,511,101,20_16_31,2019_10_29
lee,11,B,100,-0,100,2900,1277,113,20_16_32,2019_10_29
lee,12,B,100,-0,100,3000,785,80,20_16_33,2019_10_29
lee,13,C,50,-50,0,3000,1328,106,20_16_34,2019_10_29
lee,14,B,100,-0,100,3100,851,89,20_16_35,2019_10_29
lee,15,D,50,-0,50,3150,1545,112,20_16_37,2019_10_29
lee,16,B,100,-1250,-1150,2000,735,87,20_16_37,2019_10_29
lee,17,C,50,-0,50,2050,1212,112,20_16_39,2019_10_29
lee,18,D,50,-0,50,2100,1269,129,20_16_40,2019_10_29
lee,19,A,100,-0,100,2200,2121,62,20_16_42,2019_10_29
lee,20,C,50,-50,0,2200,2055,54,20_16_44,2019_10_29
lee,21,A,100,-150,-50,2150,1136,79,20_16_45,2019_10_29
lee,22,B,100,-0,100,2250,877,71,20_16_46,2019_10_29
lee,23,D,50,-0,50,2300,1479,97,20_16_48,2019_10_29
lee,24,C,50,-0,50,2350,1828,63,20_16_49,2019_10_29
lee,25,D,50,-0,50,2400,711,114,20_16_50,2019_10_29
lee,26,D,50,-0,50,2450,809,87,20_16_51,2019_10_29
lee,27,A,100,-0,100,2550,618,98,20_16_51,2019_10_29
lee,28,A,100,-300,-200,2350,1269,72,20_16_53,2019_10_29
lee,29,D,50,-0,50,2400,1703,105,20_16_54,2019_10_29
lee,30,D,50,-0,50,2450,1135,77,20_16_56,2019_10_29
lee,31,B,100,-0,100,2550,669,79,20_16_56,2019_10_29
lee,32,D,50,-250,-200,2350,1078,113,20_16_57,2019_10_29
lee,33,C,50,-50,0,2350,810,71,20_16_58,2019_10_29
lee,34,B,100,-0,100,2450,508,108,20_16_59,2019_10_29
lee,35,A,100,-0,100,2550,669,98,20_16_59,2019_10_29
lee,36,A,100,-200,-100,2450,525,91,20_17_0,2019_10_29
lee,37,A,100,-0,100,2550,769,79,20_17_1,2019_10_29
lee,38,B,100,-0,100,2650,634,63,20_17_1,2019_10_29
lee,39,B,100,-1250,-1150,1500,962,70,20_17_2,2019_10_29
lee,40,B,100,-0,100,1600,1853,86,20_17_4,2019_10_29
lee,41,A,100,-250,-150,1450,978,92,20_17_5,2019_10_29
lee,42,C,50,-0,50,1500,709,71,20_17_6,2019_10_29
lee,43,D,50,-0,50,1550,1370,104,20_17_7,2019_10_29
lee,44,C,50,-50,0,1550,475,75,20_17_8,2019_10_29
lee,45,B,100,-0,100,1650,267,116,20_17_8,2019_10_29
lee,46,D,50,-0,50,1700,276,117,20_17_8,2019_10_29
lee,47,C,50,-50,0,1700,309,76,20_17_8,2019_10_29
lee,48,C,50,-0,50,1750,166,83,20_17_9,2019_10_29
lee,49,C,50,-25,25,1775,176,93,20_17_9,2019_10_29
lee,50,A,100,-350,-250,1525,39,132,20_17_9,2019_10_29
lee,51,D,50,-0,50,1575,253,134,20_17_9,2019_10_29
lee,52,B,100,-0,100,1675,192,101,20_17_9,2019_10_29
lee,53,C,50,-75,-25,1650,124,86,20_17_9,2019_10_29
lee,54,C,50,-0,50,1700,169,93,20_17_10,2019_10_29
lee,55,B,100,-0,100,1800,132,69,20_17_10,2019_10_29
lee,56,D,50,-0,50,1850,166,103,20_17_10,2019_10_29
lee,57,C,50,-0,50,1900,293,92,20_17_10,2019_10_29
lee,58,A,100,-0,100,2000,98,91,20_17_10,2019_10_29
lee,59,C,50,-0,50,2050,100,92,20_17_10,2019_10_29
lee,60,C,50,-25,25,2075,201,83,20_17_11,2019_10_29
lee,61,B,100,-0,100,2175,133,91,20_17_11,2019_10_29
lee,62,C,50,-75,-25,2150,535,93,20_17_11,2019_10_29
lee,63,B,100,-0,100,2250,167,94,20_17_11,2019_10_29
lee,64,D,50,-0,50,2300,201,102,20_17_12,2019_10_29
lee,65,A,100,-350,-250,2050,141,67,20_17_12,2019_10_29
lee,66,C,50,-0,50,2100,81,149,20_17_12,2019_10_29
lee,67,D,50,-0,50,2150,209,100,20_17_12,2019_10_29
lee,68,B,100,-1250,-1150,1000,70,170,20_17_12,2019_10_29
lee,69,C,50,-50,0,1000,147,100,20_17_12,2019_10_29
lee,70,A,100,-0,100,1100,209,109,20_17_12,2019_10_29
lee,71,D,50,-0,50,1150,31,140,20_17_12,2019_10_29
lee,72,C,50,-0,50,1200,194,119,20_17_13,2019_10_29
lee,73,B,100,-0,100,1300,107,106,20_17_13,2019_10_29
lee,74,D,50,-0,50,1350,127,97,20_17_13,2019_10_29
lee,75,B,100,-0,100,1450,108,68,20_17_13,2019_10_29
lee,76,C,50,-0,50,1500,82,150,20_17_13,2019_10_29
lee,77,B,100,-0,100,1600,167,99,20_17_13,2019_10_29
lee,78,D,50,-0,50,1650,58,157,20_17_13,2019_10_29
lee,79,C,50,-0,50,1700,184,92,20_17_14,2019_10_29
lee,80,A,100,-250,-150,1550,134,92,20_17_14,2019_10_29
lee,81,D,50,-250,-200,1350,133,125,20_17_14,2019_10_29
lee,82,C,50,-50,0,1350,234,108,20_17_14,2019_10_29
lee,83,B,100,-0,100,1450,267,100,20_17_14,2019_10_29
lee,84,B,100,-0,100,1550,919,79,20_17_15,2019_10_29
lee,85,C,50,-25,25,1575,283,58,20_17_15,2019_10_29
lee,86,A,100,-200,-100,1475,325,108,20_17_16,2019_10_29
lee,87,D,50,-0,50,1525,300,108,20_17_16,2019_10_29
lee,88,B,100,-0,100,1625,334,92,20_17_16,2019_10_29
lee,89,D,50,-0,50,1675,375,111,20_17_17,2019_10_29
lee,90,D,50,-0,50,1725,309,117,20_17_17,2019_10_29
lee,91,D,50,-0,50,1775,167,84,20_17_17,2019_10_29
lee,92,C,50,-50,0,1775,292,75,20_17_18,2019_10_29
lee,93,A,100,-0,100,1875,116,75,20_17_18,2019_10_29
lee,94,D,50,-0,50,1925,543,113,20_17_18,2019_10_29
lee,95,A,100,-300,-200,1725,468,91,20_17_19,2019_10_29
lee,96,C,50,-0,50,1775,134,67,20_17_19,2019_10_29
lee,97,B,100,-0,100,1875,208,75,20_17_19,2019_10_29
lee,98,D,50,-0,50,1925,418,101,20_17_19,2019_10_29
lee,99,C,50,-0,50,1975,267,108,20_17_20,2019_10_29
lee,100,A,100,-150,-50,1925,1,109,20_17_20,2019_10_29
