name,trial,deck,reward,penalty,gain,total,response_time,touch_speed,hh_mm_ss,YYYY_MM_DD
zoh,1,B,100,-0,100,2100,1088,112,17_32_40,2019_10_29
zoh,2,C,50,-0,50,2150,374,86,17_32_41,2019_10_29
zoh,3,A,100,-0,100,2250,857,112,17_32_41,2019_10_29
zoh,4,C,50,-0,50,2300,333,101,17_32_42,2019_10_29
zoh,5,C,50,-50,0,2300,209,74,17_32_42,2019_10_29
zoh,6,C,50,-0,50,2350,139,56,17_32_42,2019_10_29
zoh,7,D,50,-0,50,2400,287,93,17_32_42,2019_10_29
zoh,8,D,50,-0,50,2450,166,73,17_32_43,2019_10_29
zoh,9,D,50,-0,50,2500,152,75,17_32_43,2019_10_29
zoh,10,B,100,-0,100,2600,261,92,17_32_43,2019_10_29
zoh,11,B,100,-0,100,2700,141,57,17_32_43,2019_10_29
zoh,12,A,100,-0,100,2800,225,133,17_32_43,2019_10_29
zoh,13,A,100,-150,-50,2750,158,107,17_32_43,2019_10_29
zoh,14,C,50,-50,0,2750,327,90,17_32_44,2019_10_29
zoh,15,C,50,-0,50,2800,149,72,17_32_44,2019_10_29
zoh,16,C,50,-50,0,2800,127,46,17_32_44,2019_10_29
zoh,17,C,50,-0,50,2850,126,75,17_32_44,2019_10_29
zoh,18,C,50,-50,0,2850,135,75,17_32_44,2019_10_29
zoh,19,C,50,-50,0,2850,123,69,17_32_44,2019_10_29
zoh,20,C,50,-0,50,2900,119,53,17_32_45,2019_10_29
zoh,21,C,50,-25,25,2925,142,76,17_32_45,2019_10_29
zoh,22,C,50,-75,-25,2900,122,68,17_32_45,2019_10_29
zoh,23,C,50,-0,50,2950,134,81,17_32_45,2019_10_29
zoh,24,C,50,-0,50,3000,134,83,17_32_45,2019_10_29
zoh,25,C,50,-0,50,3050,125,55,17_32_45,2019_10_29
zoh,26,C,50,-25,25,3075,153,89,17_32_45,2019_10_29
zoh,27,C,50,-75,-25,3050,125,68,17_32_45,2019_10_29
zoh,28,C,50,-0,50,3100,125,56,17_32_46,2019_10_29
zoh,29,C,50,-50,0,3100,143,82,17_32_46,2019_10_29
zoh,30,C,50,-0,50,3150,116,66,17_32_46,2019_10_29
